sample	chr	index	start	stop	pre_geno	cur_geno
4398_AB_4549_AB	Chr1	1	13007682	13612381	mo	pa
4398_AB_4549_AB	Chr1	2	29108602	29643091	pa	mo
4398_AB_4549_AB	Chr3	3	20085249	20864107	mo	pa
4398_AB_4549_AB	Chr5	4	8657491	9002158	pa	mo
4398_AB_4549_AB	Chr5	5	18880888	18894810	mo	pa
4398_AB_4549_AB	Chr5	6	22281819	22843413	pa	mo
4398_AC_4549_AC	Chr1	1	28429912	28688013	pa	mo
4398_AC_4549_AC	Chr2	2	14145388	14606424	mo	pa
4398_AC_4549_AC	Chr3	3	22747226	23366896	mo	pa
4398_AC_4549_AC	Chr5	4	20838647	22168963	pa	mo
4398_C_4549_C	Chr2	1	349205	595993	mo	pa
4398_C_4549_C	Chr2	2	10154119	11273360	pa	mo
4398_C_4549_C	Chr3	3	1749016	2071007	pa	mo
4398_C_4549_C	Chr3	4	8705090	9603444	mo	pa
4398_C_4549_C	Chr4	5	6386348	6621413	mo	pa
4398_C_4549_C	Chr4	6	12767211	13437285	pa	mo
4398_C_4549_C	Chr5	7	4122475	4820160	mo	pa
4398_C_4549_C	Chr5	8	17524080	18177181	pa	mo
4398_AD_4549_AD	Chr3	1	1893121	2563274	pa	mo
4398_AD_4549_AD	Chr4	2	4122336	4248888	pa	mo
4398_AD_4549_AD	Chr5	3	12654843	12920067	mo	pa
4398_AE_4549_AE	Chr1	1	3443270	4069081	mo	pa
4398_AE_4549_AE	Chr1	2	9499354	10176001	pa	mo
4398_AE_4549_AE	Chr4	3	7119704	7601231	pa	mo
4398_AE_4549_AE	Chr5	4	21550340	22168963	mo	pa
4398_AF_4549_AF	Chr1	1	21160020	21752829	mo	pa
4398_AF_4549_AF	Chr2	2	13574629	13887503	pa	mo
4398_AF_4549_AF	Chr3	3	17172873	17854177	mo	pa
4398_AF_4549_AF	Chr5	4	1377183	1747035	mo	pa
4398_AF_4549_AF	Chr5	5	21761637	22168963	pa	mo
4398_D_4549_D	Chr1	1	1936156	2264947	pa	mo
4398_D_4549_D	Chr2	2	349205	1565495	mo	pa
4398_D_4549_D	Chr4	3	2355164	3609297	pa	mo
4398_D_4549_D	Chr5	4	327803	442817	mo	pa
4398_D_4549_D	Chr5	5	23537605	24547657	pa	mo
4398_E_4549_E	Chr1	1	10176001	10509774	pa	mo
4398_E_4549_E	Chr1	2	24641144	25458236	mo	pa
4398_E_4549_E	Chr3	3	15432385	16958785	pa	mo
4398_E_4549_E	Chr4	4	144397	570830	mo	pa
4398_E_4549_E	Chr5	5	7104159	7346189	mo	pa
4398_E_4549_E	Chr5	6	24547657	24886081	pa	mo
4398_F_4549_F	Chr2	1	10572410	11693576	pa	mo
4398_F_4549_F	Chr3	2	8913739	9603444	mo	pa
4398_F_4549_F	Chr5	3	367560	1377183	pa	mo
4398_F_4549_F	Chr5	4	4122475	4711957	mo	pa
4398_F_4549_F	Chr5	5	6627372	7346189	pa	mo
4398_F_4549_F	Chr5	6	19961979	21550340	mo	pa
4398_H_4549_H	Chr1	1	3714881	4069081	pa	mo
4398_H_4549_H	Chr2	2	5799153	7128467	pa	mo
4398_H_4549_H	Chr3	3	510184	1663416	pa	mo
4398_H_4549_H	Chr3	4	19350777	20772285	mo	pa
4398_H_4549_H	Chr4	5	1456115	1717920	mo	pa
4398_H_4549_H	Chr4	6	15049682	15853858	pa	mo
4398_H_4549_H	Chr5	7	15933517	16278658	pa	mo
4398_H_4549_H	Chr5	8	26363086	26673425	mo	mo
4398_I_4549_I	Chr1	1	4764506	5038302	mo	pa
4398_I_4549_I	Chr1	2	22653458	22864750	pa	mo
4398_I_4549_I	Chr1	3	26095793	26411588	mo	pa
4398_I_4549_I	Chr3	4	15287263	16263422	mo	pa
4398_I_4549_I	Chr4	5	4593838	5420645	pa	mo
4398_I_4549_I	Chr5	6	827005	1747035	mo	pa
4398_I_4549_I	Chr5	7	20838647	21550340	pa	mo
4399_A_4550_A	Chr1	1	21314521	22293336	mo	pa
4399_A_4550_A	Chr2	2	10544238	11273360	pa	mo
4399_J_4550_J	Chr1	1	24204254	24765485	mo	pa
4399_J_4550_J	Chr4	2	17001117	17835612	pa	mo
4399_J_4550_J	Chr5	3	17720014	18030700	pa	mo
4399_K_4550_K	Chr2	1	9785639	10778195	pa	mo
4399_K_4550_K	Chr3	2	15650188	17172873	mo	pa
4399_K_4550_K	Chr4	3	14402167	15566565	pa	mo
4399_L_4550_L	Chr1	1	6681923	7467580	pa	mo
4399_L_4550_L	Chr2	2	9785639	10154119	pa	mo
4399_L_4550_L	Chr3	3	22074489	22747226	mo	pa
4399_L_4550_L	Chr4	4	1321320	1444665	mo	pa
4399_L_4550_L	Chr4	5	16820749	17733418	pa	mo
4399_L_4550_L	Chr5	6	19967870	22168963	pa	mo
4399_M_4550_M	Chr1	1	8959937	9053374	mo	pa
4399_M_4550_M	Chr1	2	23916417	24204254	pa	mo
4399_M_4550_M	Chr2	3	9899896	10154119	pa	mo
4399_M_4550_M	Chr3	4	2983429	3633397	mo	pa
4399_M_4550_M	Chr5	5	14059870	15015051	pa	mo
4399_M_4550_M	Chr5	6	19967870	21761637	mo	pa
4399_N_4550_N	Chr4	1	6723345	6878122	mo	pa
4399_N_4550_N	Chr4	2	12267228	12280792	pa	mo
4399_N_4550_N	Chr5	3	7633257	8372900	pa	mo
4399_O_4550_O	Chr1	1	5505868	5782954	pa	mo
4399_O_4550_O	Chr5	2	13852928	15015464	pa	mo
4399_P_4550_P	Chr1	1	4069081	4738542	mo	pa
4399_P_4550_P	Chr3	2	8705090	9603444	pa	mo
4399_P_4550_P	Chr3	3	18531329	19350777	mo	pa
4399_P_4550_P	Chr5	4	1377183	1912861	pa	mo
4399_P_4550_P	Chr5	5	16393172	17320841	mo	pa
4399_Q_4550_Q	Chr2	1	16291859	16669209	pa	mo
4399_Q_4550_Q	Chr3	2	12447175	12821972	pa	mo
4399_Q_4550_Q	Chr4	3	10415000	10637217	pa	mo
4399_Q_4550_Q	Chr5	4	15933517	16032199	pa	mo
4399_R_4550_R	Chr2	1	16717834	17069154	pa	mo
4399_R_4550_R	Chr3	2	8670705	8913739	pa	mo
4399_R_4550_R	Chr4	3	6564920	6621413	pa	mo
4399_R_4550_R	Chr5	4	22843413	23537605	mo	pa
4399_B_4550_B	Chr1	1	24765485	25180090	pa	mo
4399_B_4550_B	Chr2	2	13574629	13786571	pa	mo
4399_B_4550_B	Chr3	3	7360321	8670705	mo	pa
4399_B_4550_B	Chr5	4	327803	441168	pa	mo
4399_B_4550_B	Chr5	5	2654784	3391999	mo	pa
4399_T_4550_T	Chr2	1	19158504	19167358	mo	pa
4399_T_4550_T	Chr3	2	18057524	18479876	mo	pa
4399_T_4550_T	Chr3	3	19763854	20085249	pa	mo
4399_T_4550_T	Chr4	4	8828871	9154451	mo	pa
4399_T_4550_T	Chr5	5	4295894	5125842	pa	mo
4399_U_4550_U	Chr1	1	26395310	26767845	pa	mo
4399_U_4550_U	Chr4	2	12505853	13295431	pa	mo
4399_U_4550_U	Chr5	3	15142509	15404397	pa	mo
4399_V_4550_V	Chr1	1	6681372	6903695	pa	mo
4399_V_4550_V	Chr3	2	3251828	4259998	mo	pa
4399_V_4550_V	Chr3	3	17065103	17668341	pa	mo
4399_V_4550_V	Chr5	4	24886081	26077437	mo	pa
4399_W_4550_W	Chr1	1	10660019	12165636	mo	pa
4399_W_4550_W	Chr5	2	15420067	16032199	mo	pa
4399_X_4550_X	Chr1	1	494622	1103561	mo	pa
4399_X_4550_X	Chr1	2	18227499	18656696	pa	mo
4399_X_4550_X	Chr1	3	29682872	30024006	mo	pa
4399_X_4550_X	Chr2	4	12988853	13256617	pa	mo
4399_X_4550_X	Chr3	5	11583433	11926673	mo	pa
4399_X_4550_X	Chr4	6	6539536	6723345	pa	mo
4399_X_4550_X	Chr4	7	11704467	11991480	mo	pa
4399_Y_4550_Y	Chr1	1	30024006	30295532	pa	mo
4399_Z_4550_Z	Chr1	1	3718370	4738542	mo	pa
4399_Z_4550_Z	Chr1	2	22930095	23800033	pa	mo
4399_Z_4550_Z	Chr3	3	4965430	5336670	mo	pa
4399_Z_4550_Z	Chr4	4	570830	581830	mo	pa
4399_Z_4550_Z	Chr4	5	9968673	10415000	pa	mo
4399_Z_4550_Z	Chr5	6	1377183	1894604	pa	mo
4399_AB_4550_AB	Chr2	1	10572410	11273360	mo	pa
4399_AB_4550_AB	Chr4	2	10282625	10536514	pa	mo
4399_AC_4550_AC	Chr2	1	13714917	13887503	mo	pa
4399_AC_4550_AC	Chr3	2	4779450	4888192	mo	pa
4399_C_4550_C	Chr1	1	2113801	2376582	pa	mo
4399_C_4550_C	Chr1	2	12165636	12409954	mo	pa
4399_C_4550_C	Chr1	3	27500349	27935886	pa	mo
4399_C_4550_C	Chr3	4	9603444	9610336	mo	pa
4399_C_4550_C	Chr3	5	21659315	22829798	pa	mo
4399_C_4550_C	Chr4	6	453537	570830	mo	pa
4399_C_4550_C	Chr5	7	23559189	24547657	mo	pa
4399_C_4550_C	Chr5	8	26282871	26636939	pa	pa
4399_AD_4550_AD	Chr1	1	16244056	16993732	pa	mo
4399_AD_4550_AD	Chr2	2	820992	1714405	mo	pa
4399_AE_4550_AE	Chr1	1	8035626	8089073	pa	mo
4399_AE_4550_AE	Chr1	2	25219471	25475452	mo	pa
4399_AE_4550_AE	Chr3	3	18479876	19350777	pa	mo
4399_AE_4550_AE	Chr5	4	26658967	26833028	pa	mo
4399_AF_4550_AF	Chr1	1	13007682	13398223	mo	pa
4399_AF_4550_AF	Chr1	2	23916417	25458236	pa	mo
4399_AF_4550_AF	Chr4	3	1906379	2193690	mo	pa
4399_D_4550_D	Chr1	1	3761773	4069081	mo	pa
4399_D_4550_D	Chr4	2	13437285	14007702	mo	pa
4399_E_4550_E	Chr1	1	980318	1240127	mo	pa
4399_E_4550_E	Chr3	2	20808478	20897808	pa	mo
4399_E_4550_E	Chr4	3	16603799	17480121	pa	mo
4399_E_4550_E	Chr5	4	2154177	3391999	mo	pa
4399_E_4550_E	Chr5	5	23622237	24547657	pa	mo
4399_F_4550_F	Chr1	1	15873892	16993732	pa	mo
4399_F_4550_F	Chr2	2	9352938	9785639	pa	mo
4399_F_4550_F	Chr2	3	12292325	13196917	mo	pa
4399_F_4550_F	Chr3	4	18579748	19350777	pa	mo
4399_F_4550_F	Chr5	5	16032199	16393172	pa	mo
4399_G_4550_G	Chr1	1	24204254	25219471	pa	mo
4399_G_4550_G	Chr4	2	8597060	8957067	mo	pa
4399_G_4550_G	Chr5	3	1377183	1747035	pa	mo
4399_G_4550_G	Chr5	4	16394105	16960668	mo	pa
4399_H_4550_H	Chr1	1	8089073	8505030	pa	mo
4399_H_4550_H	Chr1	2	26767845	27261767	mo	pa
4399_H_4550_H	Chr3	3	7360321	8705090	pa	mo
4399_H_4550_H	Chr3	4	17854177	18057524	mo	pa
4399_H_4550_H	Chr4	5	8356884	8445186	mo	pa
4399_H_4550_H	Chr5	6	2154177	3391999	mo	pa
4399_H_4550_H	Chr5	7	13256435	14522171	pa	mo
4399_I_4550_I	Chr1	1	21752829	22002519	pa	mo
4399_I_4550_I	Chr3	2	9187356	9603444	pa	mo
4739_A	Chr1	1	2113801	2376582	mo	pa
4739_A	Chr3	2	5597083	5985147	pa	mo
4739_A	Chr3	3	20808478	21198964	mo	pa
4739_A	Chr4	4	6621413	7601231	mo	pa
4739_A	Chr4	5	14498642	15566565	pa	mo
4739_A	Chr5	6	15612146	16255468	pa	mo
4739_B	Chr3	1	15015348	16958785	pa	mo
4739_B	Chr4	2	11018990	11704467	pa	mo
4739_B	Chr4	3	16295204	16402540	mo	pa
4739_C	Chr1	1	1382942	1936156	mo	pa
4739_C	Chr1	2	19455702	20144266	pa	mo
4739_C	Chr2	3	16118825	16315196	mo	pa
4739_C	Chr4	4	1444665	1708439	mo	pa
4739_C	Chr5	5	327803	441168	pa	mo
4739_D	Chr1	1	16244056	16669271	mo	pa
4739_D	Chr1	2	23901481	24641144	pa	mo
4739_D	Chr2	3	11273360	12123403	pa	mo
4739_D	Chr3	4	1184920	1847646	pa	mo
4739_D	Chr3	5	22074489	23078568	mo	pa
4739_D	Chr5	6	2197151	3391999	mo	pa
4739_E	Chr1	1	12533321	12897231	mo	pa
4739_E	Chr1	2	25219471	25458236	pa	mo
4739_E	Chr3	3	2393205	2758634	mo	pa
4739_E	Chr3	4	11390460	11443178	pa	mo
4739_E	Chr4	5	13459006	14150054	pa	mo
4739_E	Chr5	6	7738966	8304706	pa	mo
4739_F	Chr1	1	22690881	23001675	mo	pa
4739_F	Chr2	2	17459699	17891016	mo	pa
4739_F	Chr3	3	17498706	18057524	pa	mo
4739_F	Chr4	4	5699695	6539536	mo	pa
4739_F	Chr5	5	10141754	11132574	mo	pa
4739_G	Chr1	1	494622	980318	mo	pa
4739_G	Chr1	2	12533321	12580333	pa	mo
4739_G	Chr2	3	15064908	15244403	pa	mo
4739_G	Chr3	4	7008957	7188996	mo	pa
4739_G	Chr3	5	10359894	11325752	pa	mo
4739_G	Chr3	6	15442895	16263422	mo	pa
4739_G	Chr3	7	19227283	19288846	pa	mo
4739_G	Chr5	8	6627372	7426135	mo	pa
4739_G	Chr5	9	13256435	13900697	pa	mo
4739_G	Chr5	10	16032199	16255468	mo	pa
4739_G	Chr5	11	22407628	22843413	pa	mo
4739_H	Chr1	1	3718370	4069081	mo	pa
4739_H	Chr1	2	9522106	9990420	pa	mo
4739_H	Chr1	3	26849402	27261767	mo	pa
4739_H	Chr2	4	17891016	18666158	pa	mo
4739_H	Chr2	5	19013980	19391712	mo	pa
4739_H	Chr3	6	22074489	22980214	pa	mo
4739_H	Chr4	7	6019466	6585376	pa	mo
4739_H	Chr4	8	16967031	17755976	mo	pa
4739_I	Chr1	1	15784376	16993732	pa	mo
4739_I	Chr1	2	25219471	25475452	mo	pa
4739_I	Chr2	3	14081515	14606424	pa	mo
4739_I	Chr2	4	15908572	16291859	mo	pa
4739_I	Chr3	5	15650188	16263422	pa	mo
4739_I	Chr4	6	11961805	12514145	pa	mo
4739_I	Chr5	7	8304706	8338759	mo	pa
4739_I	Chr5	8	18632311	18880888	pa	mo
4739_J	Chr1	1	6859698	7681576	pa	mo
4739_J	Chr1	2	21160020	21500226	mo	pa
4739_J	Chr2	3	17121296	17348398	pa	mo
4739_J	Chr3	4	20772285	21198964	pa	mo
4739_J	Chr4	5	11961805	12267228	mo	pa
4739_J	Chr5	6	15933517	16316545	pa	mo
4739_K	Chr1	1	2806172	2973529	mo	pa
4739_K	Chr1	2	9128457	9499354	pa	mo
4739_K	Chr2	3	820992	2013155	mo	pa
4739_K	Chr3	4	10117079	10359894	mo	pa
4739_K	Chr5	5	16393172	16394105	pa	mo
4739_L	Chr1	1	2973529	3095585	pa	mo
4739_L	Chr1	2	9053374	9522106	mo	pa
4739_L	Chr1	3	28164380	28688013	pa	mo
4739_L	Chr2	4	17891016	18700221	pa	mo
4739_L	Chr3	5	8073340	8670705	mo	pa
4739_L	Chr4	6	11018990	11432004	pa	mo
4739_L	Chr5	7	24886081	26077437	mo	pa
4739_M	Chr1	1	10176001	10328094	pa	mo
4739_M	Chr1	2	25458236	25840246	mo	pa
4739_M	Chr2	3	7739019	8863397	pa	mo
4739_M	Chr2	4	16521301	16736071	mo	pa
4739_M	Chr3	5	6253960	6263841	mo	pa
4739_N	Chr2	1	9352938	10544238	pa	mo
4739_N	Chr2	2	18730243	19158504	mo	pa
4739_N	Chr5	3	4295894	5100766	mo	pa
4739_N	Chr5	4	7346189	7738966	pa	mo
4739_N	Chr5	5	15416863	15848295	mo	pa
4739_N	Chr5	6	18293494	18880888	pa	mo
4739_O	Chr2	1	7220525	9001417	pa	mo
4739_O	Chr3	2	1647770	1847646	pa	mo
4739_O	Chr3	3	10506490	11325752	mo	pa
4739_O	Chr3	4	21883946	22829798	pa	mo
4739_O	Chr4	5	581830	1276699	mo	pa
4739_O	Chr4	6	13297153	13459006	pa	mo
4739_P	Chr1	1	1382942	1839300	pa	mo
4739_P	Chr1	2	9599460	10176001	mo	pa
4739_P	Chr1	3	17947483	18183701	pa	mo
4739_P	Chr2	4	13476821	14079049	mo	pa
4739_P	Chr3	5	2216125	2563274	pa	mo
4739_P	Chr4	6	17001117	17733418	pa	mo
4739_P	Chr5	7	18880888	19510429	mo	pa
4739_Q	Chr1	1	494622	647092	pa	mo
4739_Q	Chr1	2	28461861	28688013	mo	pa
4739_Q	Chr2	3	17587796	18700221	pa	mo
4739_Q	Chr3	4	5783614	6205258	mo	pa
4739_Q	Chr3	5	21507525	22074489	pa	mo
4739_Q	Chr4	6	13459006	14007702	pa	mo
4739_Q	Chr5	7	442817	1377183	pa	mo
4739_Q	Chr5	8	14059870	15015464	mo	pa
4739_Q	Chr5	9	22500129	23492062	pa	mo
4739_R	Chr1	1	8477088	8944879	pa	mo
4739_R	Chr2	2	9268786	9785639	pa	mo
4739_R	Chr2	3	12988853	13196917	mo	pa
4739_R	Chr3	4	7621094	8913739	mo	pa
4739_R	Chr4	5	453537	581830	mo	pa
4739_R	Chr4	6	8305298	8597060	pa	mo
4739_R	Chr4	7	17755976	17829234	mo	pa
4739_R	Chr5	8	22684090	23480657	mo	pa
4739_S	Chr1	1	343269	900557	pa	mo
4739_S	Chr1	2	8944879	9053374	mo	pa
4739_S	Chr2	3	820992	1565495	mo	pa
4739_S	Chr2	4	17587796	18700221	pa	mo
4739_S	Chr3	5	11514362	11926673	mo	pa
4739_S	Chr5	6	4295894	4820160	mo	pa
4739_S	Chr5	7	18293494	19363571	pa	mo
4739_T	Chr1	1	10660019	12073661	mo	pa
4739_T	Chr1	2	25773361	25897638	pa	mo
4739_T	Chr3	3	17172873	17854177	mo	pa
4739_T	Chr5	4	1391341	1941017	mo	pa
4739_T	Chr5	5	24886081	26015252	pa	mo
4739_U	Chr1	1	902093	1326004	pa	mo
4739_U	Chr1	2	19455702	20305181	mo	pa
4739_U	Chr2	3	9785639	10572410	pa	mo
4739_U	Chr4	4	6723345	7601231	mo	pa
4739_U	Chr5	5	1941017	2154177	pa	mo
4739_U	Chr5	6	18293494	18880888	mo	pa
4739_U	Chr5	7	25817637	26363086	pa	mo
4739_W	Chr1	1	12264901	12580333	mo	pa
4739_W	Chr2	2	349205	607946	mo	pa
4739_W	Chr2	3	18730243	19167358	pa	mo
4739_W	Chr3	4	19185287	19350777	pa	mo
4739_W	Chr3	5	21883946	22829798	mo	pa
4739_W	Chr5	6	6195215	7162950	mo	pa
4739_W	Chr5	7	22843413	23492062	pa	mo
4739_X	Chr1	1	23001675	23878580	mo	pa
4739_X	Chr2	2	15272178	15396809	pa	mo
4739_X	Chr3	3	16263422	16958785	pa	mo
4739_X	Chr4	4	8576013	8972179	mo	pa
4739_X	Chr5	5	15015051	15420067	mo	pa
4739_X	Chr5	6	19929045	21761637	pa	mo
4739_Y	Chr1	1	25897638	26395310	pa	mo
4739_Y	Chr2	2	18730243	19558397	pa	mo
4739_Y	Chr5	3	4972203	5573771	pa	mo
4739_Y	Chr5	4	6536152	7104159	mo	pa
4739_Z	Chr1	1	12673741	13226713	mo	pa
4739_Z	Chr1	2	18303763	18498714	pa	mo
4739_Z	Chr1	3	26530997	26849402	mo	pa
4739_Z	Chr2	4	13196917	13414571	mo	pa
4739_Z	Chr3	5	4259998	4567379	mo	pa
4739_Z	Chr3	6	11608304	12381884	pa	mo
4739_Z	Chr3	7	18531329	19185287	mo	pa
4739_Z	Chr4	8	657983	1276699	pa	mo
4739_Z	Chr5	9	19968774	21761637	mo	pa
4739_AA	Chr1	1	9128457	9599460	pa	mo
4739_AA	Chr1	2	26767845	27278653	mo	pa
4739_AA	Chr2	3	7220525	8863397	pa	mo
4739_AA	Chr3	4	620581	826147	mo	pa
4739_AA	Chr3	5	21659315	22829798	pa	mo
4739_AA	Chr4	6	570830	942810	mo	pa
4739_AA	Chr4	7	9154451	9493199	pa	mo
4739_AA	Chr5	8	18177181	18632311	mo	pa
4739_AB	Chr1	1	1382942	1886417	pa	mo
4739_AB	Chr1	2	4217270	5325059	mo	pa
4739_AB	Chr2	3	2013155	2925859	mo	pa
4739_AB	Chr2	4	16669209	16736071	pa	mo
4739_AB	Chr4	5	8828871	8972179	mo	pa
4739_AB	Chr5	6	4711957	5125842	mo	pa
4739_AB	Chr5	7	13007684	13852928	pa	mo
4739_AC	Chr1	1	19272995	19931036	pa	mo
4739_AC	Chr1	2	29108602	29643091	mo	pa
4739_AC	Chr2	3	349205	595993	mo	pa
4739_AC	Chr3	4	10118240	10506490	mo	pa
4739_AC	Chr5	5	327803	367560	pa	mo
